year,current,after5y,sex,age_range_start,age_range_end
2013,9,11,女性,55,59
2013,7,9,男性,30,34
2013,5,5,男性,40,44
2013,10,10,男性,55,59
2013,7,6,男性,50,54
2013,7,7,女性,50,54
2013,10,10,女性,40,44
2013,5,5,女性,50,54
2013,4,2,男性,40,44
2013,7,10,女性,50,54
2013,6,6,男性,75,79
2013,7,4,女性,40,44
2013,7,7,男性,35,39
2013,5,6,男性,50,54
2013,3,3,女性,45,49
2013,8,10,女性,35,39
2013,6,6,男性,50,54
2013,10,11,男性,45,49
2013,8,10,女性,35,39
2013,5,5,女性,55,59
2013,8,9,女性,50,54
2013,5,2,男性,45,49
2013,8,8,女性,55,59
2013,7,12,男性,50,54
2013,9,9,女性,35,39
2013,6,2,男性,50,54
2013,8,9,女性,55,59
2013,9,9,女性,55,59
2013,7,7,女性,45,49
2013,6,8,男性,65,69
2013,7,9,男性,45,49
2013,8,8,男性,40,44
2013,10,15,女性,40,44
2013,8,8,男性,60,64
2013,5,8,男性,50,54
2013,6,6,男性,45,49
2013,7,9,男性,60,64
2013,8,10,男性,60,64
2013,5,0,女性,50,54
2013,10,15,女性,40,44
2013,8,8,女性,40,44
2013,7,8,女性,45,49
2013,7,7,女性,45,49
2013,9,11,女性,60,64
2013,8,8,女性,50,54
2013,8,11,男性,55,59
2013,9,12,女性,35,39
2013,7,8,男性,45,49
2013,5,5,男性,30,34
2013,8,10,男性,45,49
2013,8,10,女性,45,49
