,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013
路線名,駅名,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比
目黒線,目黒線計,"227,219","157,425","384,644",,"234,117","162,449","396,566",,"247,249","178,565","425,814",,"284,715","201,345","486,060",,"303,270","208,030","511,300",,"301,306","202,193","503,499",,"304,441","202,203","506,644",,"313,038","206,909","519,947",,"329,122","207,053","536,175",
目黒線,目黒,"121,450","73,975","195,425",2.1,"126,783","76,962","203,745",4.3,"135,432","85,997","221,429",8.7,"144,993","90,374","235,367",6.3,"150,515","91,070","241,585",2.6,"148,141","87,456","235,597",-2.5,"149,452","87,120","236,572",0.4,"152,901","88,817","241,718",2.2,"160,339","87,735","248,074",2.6
目黒線,不動前,"15,799","13,459","29,258",-3.7,"14,947","13,594","28,541",-2.5,"14,925","14,068","28,993",1.6,"14,931","14,043","28,974",-0.1,"14,447","13,645","28,092",-3,"13,977","13,449","27,426",-2.4,"14,257","13,614","27,871",1.6,"14,774","13,745","28,519",2.3,"15,220","13,698","28,918",1.4
目黒線,武蔵小山,"22,082","17,692","39,774",1,"22,458","18,368","40,826",2.6,"24,048","20,228","44,276",8.5,"24,507","21,130","45,637",3.1,"24,145","21,542","45,687",0.1,"24,632","22,101","46,733",2.3,"25,160","22,265","47,425",1.5,"26,056","22,792","48,848",3,"27,445","23,554","50,999",4.4
目黒線,西小山,"17,655","11,630","29,285",5.2,"19,206","11,563","30,769",5.1,"19,628","11,850","31,478",2.3,"20,336","11,800","32,136",2.1,"20,964","11,798","32,762",1.9,"21,771","11,510","33,281",1.6,"22,008","11,662","33,670",1.2,"22,721","11,855","34,576",2.7,"23,385","11,971","35,356",2.3
目黒線,洗足,"7,655","7,480","15,135",-1.3,"7,282","7,725","15,007",-0.8,"7,056","7,835","14,891",-0.8,"6,901","7,752","14,653",-1.6,"6,638","7,649","14,287",-2.5,"6,661","7,424","14,085",-1.4,"6,622","7,543","14,165",0.6,"6,790","7,521","14,311",1,"6,768","7,713","14,481",1.2
目黒線,大岡山,"9,617","7,161","16,778",1.4,"9,677","7,165","16,842",0.4,"9,897","8,777","18,674",10.9,"10,032","9,328","19,360",3.7,"10,152","9,701","19,853",2.5,"10,213","9,560","19,773",-0.4,"10,092","9,501","19,593",-0.9,"10,129","9,798","19,927",1.7,"10,322","9,607","19,929",0
目黒線,奥沢,"6,080","7,062","13,142",1.6,"6,091","7,161","13,252",0.8,"6,164","7,305","13,469",1.6,"6,208","7,343","13,551",0.6,"6,116","7,079","13,195",-2.6,"6,151","6,907","13,058",-1,"6,184","6,820","13,004",-0.4,"6,312","6,920","13,232",1.8,"6,565","7,099","13,664",3.3
目黒線,田園調布,"4,562","4,267","8,829",2.4,"4,841","4,378","9,219",4.4,"5,160","4,819","9,979",8.2,"5,439","5,061","10,500",5.2,"5,554","5,084","10,638",1.3,"5,574","5,004","10,578",-0.6,"5,659","4,914","10,573",0,"5,901","5,054","10,955",3.6,"6,263","5,720","11,983",9.4
目黒線,多摩川,"1,026","1,263","2,289",6.3,"1,053","1,239","2,292",0.1,"1,171","1,447","2,618",14.2,"1,248","1,636","2,884",10.2,"1,245","1,811","3,056",6,"1,214","1,813","3,027",-0.9,"1,217","1,787","3,004",-0.8,"1,259","1,872","3,131",4.2,"1,330","2,029","3,359",7.3
目黒線,新丸子,"1,377","3,294","4,671",1.7,"1,458","3,491","4,949",6,"1,519","3,792","5,311",7.3,"1,919","4,123","6,042",13.8,"2,051","4,164","6,215",2.9,"1,963","3,775","5,738",-7.7,"2,011","3,720","5,731",-0.1,"2,121","3,862","5,983",4.4,"2,209","3,630","5,839",-2.4
目黒線,武蔵小杉,"19,916","10,142","30,058",4.5,"20,321","10,803","31,124",3.5,"22,249","12,447","34,696",11.5,"26,662","15,390","42,052",21.2,"27,323","15,837","43,160",2.6,"24,637","14,465","39,102",-9.4,"23,878","14,150","38,028",-2.7,"24,322","14,684","39,006",2.6,"26,066","14,854","40,920",4.9
目黒線,元住吉,,,,,,,,,,,,,"6,464","4,156","10,620",－,"9,385","5,700","15,085",42,"9,158","5,503","14,661",-2.8,"9,338","5,539","14,877",1.5,"9,764","5,800","15,564",4.6,"10,688","5,969","16,657",7
目黒線,日吉,,,,,,,,,,,,,"15,075","9,209","24,284",－,"24,735","12,950","37,685",55.2,"27,214","13,226","40,440",7.3,"28,563","13,568","42,131",4.2,"29,988","14,189","44,177",4.9,"32,522","13,474","45,996",4.1
