,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013
路線名,駅名,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比
田園都市線,たまプラーザ,"33,821","30,417","64,238",2.4,"35,055","31,401","66,456",3.5,"36,311","32,560","68,871",3.6,"36,674","32,260","68,934",0.1,"35,799","33,338","69,137",0.3,"36,102","35,153","71,255",3.1,"37,410","36,290","73,700",3.4,"38,580","37,387","75,967",3.1,"40,242","38,304","78,546",3.4
田園都市線,あざみ野,"80,825","44,639","125,464",4.9,"84,707","46,479","131,186",4.6,"87,644","49,377","137,021",4.4,"83,232","47,553","130,785",-4.6,"82,892","46,799","129,691",-0.8,"83,515","45,878","129,393",-0.2,"83,362","45,624","128,986",-0.3,"85,040","46,457","131,497",1.9,"87,576","46,993","134,569",2.3
田園都市線,江田,"25,572","10,783","36,355",5.1,"26,533","11,049","37,582",3.4,"26,757","11,244","38,001",1.1,"25,319","10,508","35,827",-5.7,"25,017","10,288","35,305",-1.5,"25,073","10,175","35,248",-0.2,"25,013","10,363","35,376",0.4,"25,123","10,419","35,542",0.5,"25,978","10,547","36,525",2.8
田園都市線,市が尾,"26,642","17,855","44,497",1.7,"27,057","18,258","45,315",1.8,"27,593","18,520","46,113",1.8,"26,075","17,815","43,890",-4.8,"25,924","17,714","43,638",-0.6,"25,786","17,396","43,182",-1,"25,619","17,144","42,763",-1,"25,761","17,217","42,978",0.5,"26,346","17,202","43,548",1.3
田園都市線,藤が丘,"11,561","14,340","25,901",-2.2,"11,664","14,655","26,319",1.6,"11,837","14,809","26,646",1.2,"11,863","14,623","26,486",-0.6,"11,744","14,464","26,208",-1,"11,772","14,362","26,134",-0.3,"11,783","14,363","26,146",0,"11,990","14,396","26,386",0.9,"12,380","14,536","26,916",2
田園都市線,青葉台,"67,915","39,343","107,258",0.8,"69,155","40,168","109,323",1.9,"69,630","40,894","110,524",1.1,"69,853","40,557","110,410",-0.1,"70,128","39,910","110,038",-0.3,"70,185","39,314","109,499",-0.5,"69,619","39,238","108,857",-0.6,"70,519","39,920","110,439",1.5,"71,821","40,418","112,239",1.6
田園都市線,田奈,"6,867","3,686","10,553",2.9,"7,153","3,748","10,901",3.3,"7,340","3,836","11,176",2.5,"7,188","3,724","10,912",-2.4,"7,208","3,644","10,852",-0.5,"7,313","3,638","10,951",0.9,"7,435","3,631","11,066",1.1,"7,586","3,671","11,257",1.7,"7,707","3,698","11,405",1.3
田園都市線,長津田,"77,027","41,100","118,127",0,"78,209","42,149","120,358",1.9,"79,478","43,724","123,202",2.4,"78,576","42,698","121,274",-1.6,"78,318","42,041","120,359",-0.8,"79,684","42,009","121,693",1.1,"79,535","41,840","121,375",-0.3,"81,138","42,936","124,074",2.2,"82,156","43,333","125,489",1.1
田園都市線,つくし野,"8,330","4,653","12,983",0,"8,252","4,729","12,981",0,"8,173","4,785","12,958",-0.2,"8,011","4,722","12,733",-1.7,"7,818","4,608","12,426",-2.4,"7,737","4,534","12,271",-1.2,"7,696","4,369","12,065",-1.7,"7,643","4,414","12,057",-0.1,"7,932","4,452","12,384",2.7
田園都市線,すずかけ台,"8,013","3,795","11,808",-1.5,"7,904","3,779","11,683",-1.1,"7,843","3,907","11,750",0.6,"7,699","3,928","11,627",-1,"7,629","3,956","11,585",-0.4,"7,617","3,926","11,543",-0.4,"7,576","3,931","11,507",-0.3,"7,526","3,983","11,509",0,"7,794","4,031","11,825",2.7
田園都市線,南町田,"16,374","11,596","27,970",4.4,"17,074","13,446","30,520",9.1,"17,729","13,470","31,199",2.2,"18,021","13,774","31,795",1.9,"18,060","13,448","31,508",-0.9,"18,466","13,096","31,562",0.2,"18,717","13,185","31,902",1.1,"19,230","13,596","32,826",2.9,"19,971","14,028","33,999",3.6
田園都市線,つきみ野,"4,342","5,615","9,957",0.3,"4,266","5,631","9,897",-0.6,"4,331","5,567","9,898",0,"4,411","5,572","9,983",0.9,"4,509","5,478","9,987",0,"4,664","5,373","10,037",0.5,"4,712","5,236","9,948",-0.9,"4,997","5,283","10,280",3.3,"5,172","5,323","10,495",2.1
田園都市線,中央林間,"59,146","32,261","91,407",2.7,"61,334","33,572","94,906",3.8,"63,110","34,374","97,484",2.7,"63,250","34,282","97,532",0,"63,499","33,854","97,353",-0.2,"64,623","33,612","98,235",0.9,"64,381","33,131","97,512",-0.7,"65,967","34,558","100,525",3.1,"68,966","35,352","104,318",3.8
