,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013
路線名,駅名,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比
池上線,池上線計,"214,318","156,368","370,686",,"218,136","159,461","377,597",,"221,545","162,392","383,937",,"223,722","165,256","388,978",,"223,392","162,259","385,651",,"224,440","160,442","384,882",,"223,712","159,090","382,802",,"229,250","162,257","391,507",,"235,845","163,815","399,660",
池上線,五反田,"65,308","36,661","101,969",-0.8,"66,314","36,921","103,235",1.2,"66,829","36,505","103,334",0.1,"67,671","36,468","104,139",0.8,"67,443","35,452","102,895",-1.2,"67,471","34,630","102,101",-0.8,"67,438","34,466","101,904",-0.2,"69,773","35,394","105,167",3.2,"72,218","35,807","108,025",2.7
池上線,大崎広小路,"2,807","4,825","7,632",0.5,"3,019","5,034","8,053",5.5,"3,136","5,358","8,494",5.5,"3,309","5,573","8,882",4.6,"3,292","5,529","8,821",-0.7,"3,292","5,387","8,679",-1.6,"3,215","5,174","8,389",-3.3,"3,279","5,108","8,387",0,"2,592","5,059","7,651",-8.8
池上線,戸越銀座,"9,057","9,109","18,166",-2.1,"8,960","9,321","18,281",0.6,"8,951","9,548","18,499",1.2,"8,974","9,710","18,684",1,"9,056","9,725","18,781",0.5,"9,125","9,633","18,758",-0.1,"9,060","9,383","18,443",-1.7,"9,170","9,509","18,679",1.3,"9,416","9,683","19,099",2.2
池上線,荏原中延,"6,747","5,303","12,050",0.5,"6,932","5,360","12,292",2,"7,023","5,420","12,443",1.2,"7,029","5,534","12,563",1,"7,076","5,446","12,522",-0.3,"7,223","5,427","12,650",1,"7,085","5,421","12,506",-1.1,"7,252","5,478","12,730",1.8,"7,472","5,566","13,038",2.4
池上線,旗の台,"7,036","7,323","14,359",-2.1,"6,623","7,433","14,056",-2.1,"6,694","7,913","14,607",3.9,"6,582","8,037","14,619",0.1,"6,360","7,906","14,266",-2.4,"6,177","7,884","14,061",-1.4,"6,156","7,906","14,062",0,"6,377","8,013","14,390",2.3,"6,484","8,075","14,559",1.2
池上線,長原,"8,000","6,511","14,511",-3.4,"7,876","6,825","14,701",1.3,"7,787","6,953","14,740",0.3,"7,666","7,190","14,856",0.8,"7,424","7,047","14,471",-2.6,"7,385","6,834","14,219",-1.7,"7,204","6,716","13,920",-2.1,"7,491","6,913","14,404",3.5,"7,809","7,058","14,867",3.2
池上線,洗足池,"8,866","7,139","16,005",2.6,"9,255","7,250","16,505",3.1,"9,493","7,459","16,952",2.7,"9,608","7,454","17,062",0.6,"9,474","7,426","16,900",-0.9,"9,541","7,378","16,919",0.1,"9,758","7,286","17,044",0.7,"10,104","7,606","17,710",3.9,"10,620","7,470","18,090",2.1
池上線,石川台,"6,977","7,242","14,219",-0.6,"7,041","7,455","14,496",1.9,"7,094","7,654","14,748",1.7,"7,028","7,713","14,741",0,"6,739","7,431","14,170",-3.9,"6,776","7,357","14,133",-0.3,"6,797","7,298","14,095",-0.3,"6,875","7,471","14,346",1.8,"7,092","7,554","14,646",2.1
池上線,雪が谷大塚,"11,971","8,774","20,745",3.2,"12,376","8,990","21,366",3,"12,686","9,294","21,980",2.9,"12,950","9,688","22,638",3,"12,911","9,606","22,517",-0.5,"13,111","9,505","22,616",0.4,"13,210","9,608","22,818",0.9,"13,393","9,809","23,202",1.7,"13,806","9,993","23,799",2.6
池上線,御嶽山,"13,662","6,737","20,399",4.3,"14,457","6,926","21,383",4.8,"14,870","7,032","21,902",2.4,"15,209","7,224","22,433",2.4,"15,796","7,247","23,043",2.7,"16,235","7,251","23,486",1.9,"16,360","7,228","23,588",0.4,"16,860","7,358","24,218",2.7,"17,361","7,496","24,857",2.6
池上線,久が原,"8,040","7,034","15,074",-0.1,"7,816","7,255","15,071",0,"7,819","7,367","15,186",0.8,"7,728","7,405","15,133",-0.3,"7,537","7,272","14,809",-2.1,"7,214","7,166","14,380",-2.9,"7,143","7,140","14,283",-0.7,"7,252","7,178","14,430",1,"7,515","7,311","14,826",2.7
池上線,千鳥町,"6,610","5,467","12,077",7.5,"7,122","5,578","12,700",5.2,"7,406","5,703","13,109",3.2,"7,816","5,884","13,700",4.5,"8,015","5,743","13,758",0.4,"8,226","5,676","13,902",1,"8,324","5,688","14,012",0.8,"8,684","5,708","14,392",2.7,"9,081","5,814","14,895",3.5
池上線,池上,"16,826","14,838","31,664",-0.3,"17,080","15,014","32,094",1.4,"17,671","15,636","33,307",3.8,"17,880","16,067","33,947",1.9,"17,860","15,720","33,580",-1.1,"18,138","15,626","33,764",0.5,"17,913","15,363","33,276",-1.4,"18,128","15,734","33,862",1.8,"18,560","15,697","34,257",1.2
池上線,蓮沼,"3,385","3,767","7,152",-5.1,"3,208","3,857","7,065",-1.2,"3,243","4,013","7,256",2.7,"3,186","4,020","7,206",-0.7,"3,284","3,971","7,255",0.7,"3,328","4,013","7,341",1.2,"3,292","3,999","7,291",-0.7,"3,309","4,138","7,447",2.1,"3,397","4,190","7,587",1.9
