,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013
路線名,駅名,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比,定期,定期外,合計,前年比
東急多摩川線  ,東急多摩川線計  ,"115,752","76,618","192,370",,"117,360","77,763","195,123",,"118,464","77,748","196,212",,"120,248","78,801","199,049",,"120,303","77,429","197,732",,"121,951","76,142","198,093",,"122,293","75,875","198,168",,"124,353","76,815","201,168",,"129,546","77,915","207,461",
東急多摩川線  ,多摩川,943,"1,464","2,407",9.6,"1,091","1,470","2,561",6.4,"1,104","1,839","2,943",14.9,"1,187","2,008","3,195",8.6,"1,255","2,040","3,295",3.1,"1,356","1,980","3,336",1.2,"1,390","1,968","3,358",0.7,"1,447","2,042","3,489",3.9,"1,479","2,060","3,539",1.4
東急多摩川線  ,沼部,"5,294","4,597","9,891",-1.6,"5,305","4,672","9,977",0.9,"5,288","4,660","9,948",-0.3,"5,349","4,704","10,053",1.1,"5,443","4,665","10,108",0.5,"5,313","4,621","9,934",-1.7,"5,352","4,626","9,978",0.4,"5,520","4,729","10,249",2.7,"5,760","4,658","10,418",1.6
東急多摩川線  ,鵜の木,"10,609","8,191","18,800",0.1,"10,385","8,241","18,626",-0.9,"10,095","8,374","18,469",-0.8,"10,368","8,423","18,791",1.7,"10,261","8,186","18,447",-1.8,"10,280","7,976","18,256",-1,"10,010","7,890","17,900",-2,"10,123","8,040","18,163",1.5,"10,438","8,060","18,498",1.8
東急多摩川線  ,下丸子,"21,500","11,475","32,975",6.4,"22,996","11,974","34,970",6.1,"23,457","11,927","35,384",1.2,"23,707","11,926","35,633",0.7,"23,905","11,692","35,597",-0.1,"24,549","11,501","36,050",1.3,"24,837","11,442","36,279",0.6,"25,174","11,434","36,608",0.9,"26,231","11,505","37,736",3.1
東急多摩川線  ,武蔵新田,"12,955","9,930","22,885",1.5,"12,831","9,986","22,817",-0.3,"13,017","9,996","23,013",0.9,"13,253","10,120","23,373",1.6,"13,106","10,017","23,123",-1.1,"13,335","9,947","23,282",0.7,"13,528","9,929","23,457",0.8,"13,864","10,177","24,041",2.5,"14,681","10,481","25,162",4.7
東急多摩川線  ,矢口渡,"13,184","9,338","22,522",-1.7,"12,796","9,616","22,412",-0.5,"13,049","9,709","22,758",1.5,"13,068","9,781","22,849",0.4,"13,044","9,712","22,756",-0.4,"13,292","9,544","22,836",0.4,"13,339","9,588","22,927",0.4,"13,611","9,707","23,318",1.7,"14,182","9,824","24,006",3
東急多摩川線  ,蒲田,"51,267","31,623","82,890",1.2,"51,956","31,804","83,760",1,"52,454","31,243","83,697",-0.1,"53,316","31,839","85,155",1.7,"53,289","31,117","84,406",-0.9,"53,826","30,573","84,399",0,"53,837","30,432","84,269",-0.2,"54,614","30,686","85,300",1.2,"56,775","31,327","88,102",3.3
